pres_dem_seats,sen_dem_seats,cut_edges,pres_eg,sen_eg,latino_districts
32,37,452,0.10839009239113298,0.13086279890318567,3
32,37,455,0.10839009239113298,0.13086279890318567,3
32,37,450,0.10839009239113298,0.13086279890318567,3
32,37,452,0.10839009239113298,0.13086279890318567,3
32,37,454,0.10839009239113298,0.13086279890318567,3
32,37,457,0.10839009239113298,0.13086279890318567,3
32,37,458,0.10839009239113298,0.13086279890318567,3
32,37,461,0.10839009239113298,0.13086279890318567,3
31,37,456,0.07688881531233248,0.13086279890318567,3
32,37,454,0.11348658278939236,0.13086279890318567,3
32,37,461,0.11348658278939236,0.13086279890318567,2
32,37,461,0.11348658278939236,0.13086279890318567,2
32,37,460,0.11348658278939236,0.13086279890318567,2
33,37,461,0.14147983476807618,0.13086279890318567,2
33,37,461,0.14147983476807618,0.13086279890318567,2
33,37,460,0.1407486677387822,0.13086279890318567,2
33,37,455,0.13932772049317316,0.13086279890318567,2
33,37,454,0.13932772049317316,0.13086279890318567,2
33,37,453,0.13932772049317316,0.13086279890318567,2
33,37,456,0.13932772049317316,0.13086279890318567,2
33,37,455,0.13932772049317316,0.13086279890318567,2
33,37,454,0.13932772049317316,0.13086279890318567,2
33,37,454,0.13932772049317316,0.13086279890318567,2
33,37,457,0.13932772049317316,0.13086279890318567,2
33,37,459,0.13932772049317316,0.13086279890318567,2
33,37,460,0.13932772049317316,0.13086279890318567,2
33,37,459,0.13932772049317316,0.13086279890318567,2
33,37,459,0.13932772049317316,0.13086279890318567,2
33,37,458,0.1387088890991076,0.13086279890318567,3
33,38,459,0.13910502002333427,0.16820150416777288,3
33,38,458,0.13910502002333427,0.16820150416777288,3
32,38,455,0.10690607952574654,0.16820150416777288,3
32,38,457,0.10690607952574654,0.16820150416777288,3
32,38,455,0.10690607952574654,0.16820150416777288,3
32,38,458,0.10690607952574654,0.16820150416777288,3
32,38,457,0.10690607952574654,0.16820150416777288,3
32,38,458,0.10690607952574654,0.16820150416777288,3
32,38,457,0.10690607952574654,0.16820150416777288,3
32,38,457,0.10690607952574654,0.16820150416777288,3
32,38,453,0.10690607952574654,0.16820150416777288,3
32,38,456,0.10690607952574654,0.16820150416777288,3
32,38,456,0.10690607952574654,0.16820150416777288,3
32,38,454,0.10690607952574654,0.16820150416777288,3
32,38,454,0.10690607952574654,0.16820150416777288,3
32,38,452,0.10690607952574654,0.16820150416777288,3
32,38,454,0.10690607952574654,0.16820150416777288,3
32,38,454,0.1083270267713556,0.16820150416777288,2
32,38,454,0.1083270267713556,0.16820150416777288,2
32,38,454,0.1083270267713556,0.16820150416777288,2
32,38,457,0.1083270267713556,0.16820150416777288,2
32,37,456,0.10793089584712894,0.12830721339848286,2
32,37,456,0.10793089584712894,0.12830721339848286,2
32,37,457,0.10793089584712894,0.12830721339848286,2
32,37,455,0.10793089584712894,0.12830721339848286,2
32,37,455,0.10678783148866396,0.12830721339848286,2
32,37,455,0.10678783148866396,0.12830721339848286,2
32,37,450,0.10678783148866396,0.12830721339848286,2
